"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"Still caught in the dregs of flu. I will not set foot into that billowy frosting outside. I need the thickest book<U+2026> https://t.co/V8XL28sdLK",FALSE,0,,2019-03-04 17:50:04,TRUE,,"1102627280923312130",,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","MajestyJames1",0,FALSE,FALSE,,
"The latest CDC flu forecast predicts that the #flu is peaking and will continue this month. Here's what patients ca<U+2026> https://t.co/KgKmCYyJQ6",FALSE,0,,2019-03-04 17:45:08,TRUE,,"1102626038604070912",,"<a href=""https://www.hootsuite.com"" rel=""nofollow"">Hootsuite Inc.</a>","TVoxSolutions",0,FALSE,FALSE,,
"The #flu is going around... does that make you feel grossed out about shaking hands? Advice here:<U+2026> https://t.co/F3LBoCFAlI",FALSE,0,,2019-03-04 17:36:16,TRUE,,"1102623810778476545",,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","KathrynDWagner",1,FALSE,FALSE,,
"#DrDeckerWeiss live @KFNX_Headlines ""Successful Aging"" for discussion on how to handle #flu the natural way and wha<U+2026> https://t.co/lT8heF9kbd",FALSE,2,,2019-03-04 17:35:50,TRUE,,"1102623701089112064",,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","PitchAmy",2,FALSE,FALSE,,
"Flu is contagious! Symptoms can appear abruptly and may include fever, chills, or cough. 

Read more about #flu sym<U+2026> https://t.co/q4rM64Il61",FALSE,45,,2019-03-04 17:22:14,TRUE,,"1102620278604120070",,"<a href=""https://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>","CDCFlu",49,FALSE,FALSE,,
"MDBox was built to give you greater access to quality healthcare at a lower cost. #Telemedicine #DallasMoms<U+2026> https://t.co/gOBRL3RswG",FALSE,0,,2019-03-04 17:09:26,TRUE,,"1102617057466695683",,"<a href=""https://www.hootsuite.com"" rel=""nofollow"">Hootsuite Inc.</a>","MDBoxapp",0,FALSE,FALSE,,
"Spot flu symptoms in kids and know your treatment options. #flushot #fluseason #flu https://t.co/6Ht024xVOe",FALSE,0,,2019-03-04 17:09:07,FALSE,,"1102616975409332225",,"<a href=""https://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>","ParkNicollet",0,FALSE,FALSE,,
"#Flu season is in full swing. According to the @CAPublicHealth, there have been 235 flu related deaths since 10/201<U+2026> https://t.co/xM2gIqHNyf",FALSE,15,,2019-03-04 17:08:20,TRUE,,"1102616779963224064",,"<a href=""https://www.hootsuite.com"" rel=""nofollow"">Hootsuite Inc.</a>","EdEllisonMD",6,FALSE,FALSE,,
"Don't go it alone!<U+00A0> Support a healthy immune system naturally with all #organic free radical fighting and detoxifyi<U+2026> https://t.co/IIoGJALGvY",FALSE,8,,2019-03-04 17:03:14,TRUE,,"1102615497194029056",,"<a href=""https://postcron.com"" rel=""nofollow"">Postcron App</a>","Renovation_Tea",7,FALSE,FALSE,,
"Think You Have the Flu? Don't Hesitate to Come In
(https://t.co/cbJRorm1Nj)

#flu #Tamiflu #ChulaVista https://t.co/afauXpyJ1t",FALSE,0,,2019-03-04 17:03:12,FALSE,,"1102615488419561472",,"<a href=""https://www.hootsuite.com"" rel=""nofollow"">Hootsuite Inc.</a>","CardiologyOf",0,FALSE,FALSE,,
"Blog Magazine https://t.co/mRLw4kzIxB : The flu season is on the way and the only way to prevent colds and flu is t<U+2026> https://t.co/hdqJt7oHxA",FALSE,0,,2019-03-04 17:02:04,TRUE,,"1102615200702914560",,"<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","OrganicErica",0,FALSE,FALSE,,
"This year's flu shot is less than 50% effective. Is a universal flu vaccine the answer to preventing the #flu?<U+2026> https://t.co/WlFwN6Pd41",FALSE,0,,2019-03-04 17:02:03,TRUE,,"1102615200224722944",,"<a href=""https://www.hootsuite.com"" rel=""nofollow"">Hootsuite Inc.</a>","marthagipprich",0,FALSE,FALSE,,
"Could it be #flu?  #influenza https://t.co/hn8JqgU5E3 https://t.co/IxwkpUS8hx",FALSE,0,,2019-03-04 17:01:10,FALSE,,"1102614975976214528",,"<a href=""https://www.socialjukebox.com"" rel=""nofollow"">The Social Jukebox</a>","drkdhoffman",0,FALSE,FALSE,,
"#MondayMotivation: Beat the #Flu in the office this #FluSeason with these expert tips: https://t.co/ckt25mysJk",FALSE,0,,2019-03-04 17:00:43,FALSE,,"1102614863241756673",,"<a href=""https://www.hootsuite.com"" rel=""nofollow"">Hootsuite Inc.</a>","RockfordMutual",1,FALSE,FALSE,,
"Hate that she's sick.  Never hate extra cuddle time though. <U+2764><U+FE0F><U+2764><U+FE0F>#strepthroat #flu #lysoleverything<U+2026> https://t.co/FXYFHAqtpz",FALSE,0,,2019-03-04 16:54:56,TRUE,,"1102613407797334016",,"<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","JessAnnaSharp",0,FALSE,FALSE,,
"#GeorgiaState researcher Dr. Baozhong Wang is fighting #influenza #TheStateWay. He's received a $3.86 million feder<U+2026> https://t.co/HfKxEG2Frx",FALSE,1,,2019-03-04 16:54:08,TRUE,,"1102613206294560768",,"<a href=""https://www.hootsuite.com"" rel=""nofollow"">Hootsuite Inc.</a>","ByLaTinaEmerson",1,FALSE,FALSE,,
".@BGOV @business The Flu Is Spreading Across America a Little Later This Season https://t.co/Wmgz2WqmA1 @FayCortez<U+2026> https://t.co/Lvm1RpyrTE",FALSE,0,,2019-03-04 15:54:12,TRUE,,"1102598124776968194",,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","phsu54",1,FALSE,FALSE,,
"Widespread #flu activity is being reported by 49 states and Puerto Rico. Help stop the spread of flu and take 3 act<U+2026> https://t.co/kel5B1eDVQ",FALSE,44,,2019-03-04 15:53:03,TRUE,,"1102597833075634176",,"<a href=""https://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>","CDCFlu",58,FALSE,FALSE,,
"#Yoga teacher: soften your mind.
Me: ...I can soften my face but dunno how to soften my mind.
Plus, I hate it when<U+2026> https://t.co/xsxDaH0JH9",FALSE,0,,2019-03-04 15:50:15,TRUE,,"1102597131146190849",,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","mashasrin",0,FALSE,FALSE,,
"What's the worst non-life-threatening illness? I'm talking colds, diarrhea, pink eye...

For me it's Strep Throat.<U+2026> https://t.co/0ipIcmJdl1",FALSE,2,,2019-03-04 15:28:14,TRUE,,"1102591587362713605",,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","1003TheBear",0,FALSE,FALSE,,
